Time,Year,Month,Day,Hour,AQI,PM2.5,Temp,Hum
2024-03-02 16:00:00,2024,3,2,16,140,51,23,67
2024-03-02 17:00:00,2024,3,2,17,140,51,23,68
2024-03-02 18:00:00,2024,3,2,18,130,47,23,68
2024-03-02 19:00:00,2024,3,2,19,138,50,23,68
2024-03-02 20:00:00,2024,3,2,20,146,54,23,67
2024-03-02 21:00:00,2024,3,2,21,152,59,24,65
2024-03-02 22:00:00,2024,3,2,22,153,61,23,64
2024-03-02 23:00:00,2024,3,2,23,155,64,23,63
2024-03-03 00:00:00,2024,3,3,0,156,67,23,62
2024-03-03 01:00:00,2024,3,3,1,158,70,23,61
2024-03-03 02:00:00,2024,3,3,2,159,73,23,60
2024-03-03 03:00:00,2024,3,3,3,161,76,22,59
2024-03-03 04:00:00,2024,3,3,4,162,79,22,58
2024-03-03 05:00:00,2024,3,3,5,164,82,22,57
2024-03-03 06:00:00,2024,3,3,6,165,84,22,56
2024-03-03 07:00:00,2024,3,3,7,167,87,22,55
2024-03-03 08:00:00,2024,3,3,8,168,90,22,54
2024-03-03 09:00:00,2024,3,3,9,170,93,21,53
2024-03-03 10:00:00,2024,3,3,10,171,96,21,52
2024-03-03 11:00:00,2024,3,3,11,173,99,21,51
2024-03-03 12:00:00,2024,3,3,12,174,102,21,50
2024-03-03 13:00:00,2024,3,3,13,176,105,21,49
2024-03-03 14:00:00,2024,3,3,14,178,108,21,49
2024-03-03 15:00:00,2024,3,3,15,167,96,21,49
2024-03-03 16:00:00,2024,3,3,16,157,85,21,49
2024-03-03 17:00:00,2024,3,3,17,146,74,21,50
2024-03-03 18:00:00,2024,3,3,18,136,63,21,50
2024-03-03 19:00:00,2024,3,3,19,125,52,21,50
2024-03-03 20:00:00,2024,3,3,20,115,41,22,51
2024-03-03 21:00:00,2024,3,3,21,127,46,22,50
2024-03-03 22:00:00,2024,3,3,22,140,51,22,50
2024-03-03 23:00:00,2024,3,3,23,136,49,22,50
2024-03-04 00:00:00,2024,3,4,0,136,49,21,50
